estimated_price,car_name,miles,vin,body,primary_damage,secondary_damage,start_code,key_fob,airbags,car_image,url
3289,2002 HONDA ACCORD EX,"331,112 mi (Actual)",VIN: 1HGCG16512A039972 ,Sedan 4 Door,Rear ,none,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25242781~SID~I1,https://www.iaai.com/Vehicle?itemID=31594279&RowNumber=320&loadRecent=True
4100,2005 SUBARU IMPREZA WRX/VDT,"154,475 mi (Actual)",VIN: JF1GG29685G803396 ,Wagon 4 Door,Front End ,Left & Right Side ,Vehicle Won't Start ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25331774~SID~I1,https://www.iaai.com/Vehicle?itemID=31722068&RowNumber=323&loadRecent=True
9978,2014 CHEVROLET IMPALA LIMITED LTZ,"80,023 mi (Actual)",VIN: 2G1WC5E35E1129809 ,Sedan 4 Door,Left Front ,none,Run & Drive ,Present,Deployed,https://vis.iaai.com/singlethumbnail?imageKeys=24182174~SID~I1,https://www.iaai.com/Vehicle?itemID=30267678&RowNumber=318&loadRecent=True
6961,2007 NISSAN ALTIMA 2.5/2.5S,"217,185 mi (Not Required/Exempt)",VIN: 1N4AL21E87C124615 ,Sedan 4 Door,Rear ,none,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=24959834~SID~I1,https://www.iaai.com/Vehicle?itemID=31195240&RowNumber=321&loadRecent=True
1709,1998 HONDA CIVIC LX,"244,673 mi (Actual)",VIN: 2HGEJ6672WH561638 ,Sedan 4 Door,Right Rear ,Right Side ,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25242602~SID~I1,https://www.iaai.com/Vehicle?itemID=31594232&RowNumber=316&loadRecent=True
8179,2015 CHEVROLET SONIC LTZ,"56,549 mi (Actual)",VIN: 1G1JE5SB3F4191750 ,Sedan 4 Door,Right Side ,Left Side ,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=24906657~SID~I1,https://www.iaai.com/Vehicle?itemID=31100791&RowNumber=327&loadRecent=True
9578,2007 ACURA TL ,"164,744 mi (Not Required/Exempt)",VIN: 19UUA66207A004341 ,Sedan 4 Door,Front & Rear ,Left Side ,Vehicle Starts ,Present,Deployed,https://vis.iaai.com/singlethumbnail?imageKeys=24915028~SID~I1,https://www.iaai.com/Vehicle?itemID=31115475&RowNumber=314&loadRecent=True
3917,2007 SUBARU IMPREZA 2.5I,"183,855 mi (Not Required/Exempt)",VIN: JF1GG61667H806944 ,Wagon 4 Door,Front End ,none,Vehicle Won't Start ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=24960327~SID~I1,https://www.iaai.com/Vehicle?itemID=31195318&RowNumber=324&loadRecent=True
5,2016 NISSAN SENTRA S/SV/SR/SL,"28,283 mi (Exceeds Mechanical Limits)",VIN: 3N1AB7APXGL672327 ,Sedan 4 Door,Front End ,Left Side ,Cannot Test Start ,Missing,Standard Wheels,https://vis.iaai.com/singlethumbnail?imageKeys=24305537~SID~I1,https://www.iaai.com/Vehicle?itemID=30260789&RowNumber=315&loadRecent=True
10007,2013 NISSAN MAXIMA S/SV,"66,846 mi (Actual)",VIN: 1N4AA5AP8DC821108 ,Sedan 4 Door,Front End ,none,Run & Drive ,Present,Deployed,https://vis.iaai.com/singlethumbnail?imageKeys=25133811~SID~I1,https://www.iaai.com/Vehicle?itemID=31427407&RowNumber=312&loadRecent=True
